activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,12148274,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccccc1)N1CCOc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180154,,CHEMBL2180154,,False,http://www.openphacts.org/units/Nanomolar,1753348,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148275,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(N1CCOCC1)N1CCOc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180153,,CHEMBL2180153,,False,http://www.openphacts.org/units/Nanomolar,1753347,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148276,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccccc1O)OCc1ccccc1,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180152,,CHEMBL2180152,,False,http://www.openphacts.org/units/Nanomolar,1753346,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148277,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)Nc1ccccc1O,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180151,,CHEMBL2180151,5.47,False,http://www.openphacts.org/units/Nanomolar,1753345,=,1,True,=,,IC50,nM,,3390.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,3.39
,12148278,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccccc1O)c1ccccc1,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL229357,,CHEMBL229357,,False,http://www.openphacts.org/units/Nanomolar,1753344,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148279,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccccc1O)N1CCOCC1,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180150,,CHEMBL2180150,,False,http://www.openphacts.org/units/Nanomolar,1753343,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148280,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,OC1(c2ccccc2)c2ccccc2N(Cc2ccccc2)c2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180149,,CHEMBL2180149,5.61,False,http://www.openphacts.org/units/Nanomolar,1753342,=,1,True,=,,IC50,nM,,2440.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,2.44
,12148281,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=c1c2ccccc2n(Cc2ccc([N+](=O)[O-])cc2)c2ccccc12,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180148,,CHEMBL2180148,5.60,False,http://www.openphacts.org/units/Nanomolar,1753341,=,1,True,=,,IC50,nM,,2490.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,2.49
,12148282,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(Cn2c3ccccc3c(=O)c3ccccc32)cc1,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180147,,CHEMBL2180147,4.93,False,http://www.openphacts.org/units/Nanomolar,1753340,=,1,True,=,,IC50,nM,,11800.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,11.8
,12148283,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(Cn2c3ccccc3c(=O)c3ccccc32)cc1,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL484675,,CHEMBL484675,4.99,False,http://www.openphacts.org/units/Nanomolar,1753339,=,1,True,=,,IC50,nM,,10300.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.3
,12148284,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=c1c2ccccc2n(Cc2ccccc2)c2ccccc12,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL451082,,CHEMBL451082,5.22,False,http://www.openphacts.org/units/Nanomolar,1753338,=,1,True,=,,IC50,nM,,5970.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,5.97
,12148285,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)C(=O)n1c2ccccc2c(=O)c2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180146,,CHEMBL2180146,4.41,False,http://www.openphacts.org/units/Nanomolar,1753337,=,1,True,=,,IC50,nM,,39100.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,39.1
,12148286,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccccc1)n1c2ccccc2c(=O)c2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180145,,CHEMBL2180145,4.57,False,http://www.openphacts.org/units/Nanomolar,1753336,=,1,True,=,,IC50,nM,,26900.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,26.9
,12148287,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,Clc1c2ccccc2nc2ccccc12,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180144,,CHEMBL2180144,,False,http://www.openphacts.org/units/Nanomolar,1753335,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148288,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(SCCc1ccccc1)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180143,,CHEMBL2180143,,False,http://www.openphacts.org/units/Nanomolar,1753334,>=,1,True,>=,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148289,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(OCCc1ccccc1)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180142,,CHEMBL2180142,5.41,False,http://www.openphacts.org/units/Nanomolar,1753333,=,1,True,=,,IC50,nM,,3930.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,3.93
,12148290,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(COC(=O)N2c3ccccc3Oc3ccccc32)cc1,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180141,,CHEMBL2180141,5.58,False,http://www.openphacts.org/units/Nanomolar,1753332,=,1,True,=,,IC50,nM,,2640.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,2.64
,12148291,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(OCc1ccc([N+](=O)[O-])cc1)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180140,,CHEMBL2180140,,False,http://www.openphacts.org/units/Nanomolar,1753331,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148292,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(OCc1ccc(Cl)cc1)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180139,,CHEMBL2180139,5.99,False,http://www.openphacts.org/units/Nanomolar,1753330,=,1,True,=,,IC50,nM,,1020.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,1.02
,12148293,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(COC(=O)N2c3ccccc3Oc3ccccc32)cc1,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180138,,CHEMBL2180138,5.64,False,http://www.openphacts.org/units/Nanomolar,1753329,=,1,True,=,,IC50,nM,,2280.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,2.28
,12148294,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(OCc1ccccc1)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180137,,CHEMBL2180137,6.72,True,http://www.openphacts.org/units/Nanomolar,1753328,=,1,True,=,,IC50,nM,,189.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,0.189
,12148295,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)OC(=O)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180136,,CHEMBL2180136,5.63,False,http://www.openphacts.org/units/Nanomolar,1753327,=,1,True,=,,IC50,nM,,2350.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,2.35
,12148296,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180135,,CHEMBL2180135,4.28,False,http://www.openphacts.org/units/Nanomolar,1753326,=,1,True,=,,IC50,nM,,52300.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,52.3
,12148297,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,CN1CCN(C(=O)N2c3ccccc3Oc3ccccc32)CC1,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180178,,CHEMBL2180178,,False,http://www.openphacts.org/units/Nanomolar,1753372,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148298,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(N1CCCCC1)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180177,,CHEMBL2180177,4.97,False,http://www.openphacts.org/units/Nanomolar,1753371,=,1,True,=,,IC50,nM,,10700.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.7
,12148299,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(N1CCOCC1)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180176,,CHEMBL2180176,,False,http://www.openphacts.org/units/Nanomolar,1753370,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148300,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)N(C(=O)N1c2ccccc2Oc2ccccc21)C(C)C,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180175,,CHEMBL2180175,4.91,False,http://www.openphacts.org/units/Nanomolar,1753369,=,1,True,=,,IC50,nM,,12400.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,12.4
,12148301,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCN(CCC)C(=O)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180174,,CHEMBL2180174,5.57,False,http://www.openphacts.org/units/Nanomolar,1753368,=,1,True,=,,IC50,nM,,2690.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,2.69
,12148302,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)C(=O)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180173,,CHEMBL2180173,4.76,False,http://www.openphacts.org/units/Nanomolar,1753367,=,1,True,=,,IC50,nM,,17400.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,17.4
,12148303,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)C(=O)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180172,,CHEMBL2180172,4.61,False,http://www.openphacts.org/units/Nanomolar,1753366,=,1,True,=,,IC50,nM,,24600.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,24.6
,12148304,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(NCCc1ccccc1)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180171,,CHEMBL2180171,5.75,False,http://www.openphacts.org/units/Nanomolar,1753365,=,1,True,=,,IC50,nM,,1780.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,1.78
,12148305,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(NCc1cc(Cl)cc(Cl)c1)N1c2ccccc2Oc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180170,,CHEMBL2180170,,False,http://www.openphacts.org/units/Nanomolar,1753364,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
